Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building
20645788,VEURNE,8630,220000.0,APARTMENT,APARTMENT,sale,1.0,,0,0,0,,,,2.0,0,GOOD
11484325,Oostende,8400,425000.0,APARTMENT,APARTMENT,sale,3.0,98.0,1,0,0,,,,2.0,0,JUST_RENOVATED
20633966,Oostakker,9041,299000.0,APARTMENT,APARTMENT,sale,2.0,89.0,1,0,0,10.0,,,,0,AS_NEW
11410433,Oosterzele,9860,445000.0,HOUSE,HOUSE,sale,2.0,106.0,0,0,0,,,6363.0,4.0,0,TO_RENOVATE
20368551,FLÉMALLE,4400,289000.0,HOUSE,HOUSE,sale,2.0,70.0,1,0,0,,100.0,340.0,4.0,0,JUST_RENOVATED
20567713,BOOM,2850,249.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20240496,Waregem,8790,299000.0,HOUSE,HOUSE,sale,4.0,354.0,1,0,1,,,219.0,3.0,0,GOOD
20494977,Jabbeke,8490,398000.0,HOUSE,VILLA,sale,5.0,280.0,0,0,0,80.0,400.0,1049.0,,0,TO_BE_DONE_UP
10874469,Knokke-Heist,8300,2195000.0,HOUSE,HOUSE,sale,4.0,233.0,1,1,0,50.0,700.0,883.0,4.0,1,AS_NEW
20650309,Tongeren,3700,595000.0,HOUSE,HOUSE,sale,3.0,223.0,0,0,0,18.0,,760.0,,0,AS_NEW
20642940,Bellem,9881,447000.0,HOUSE,HOUSE,sale,3.0,125.0,1,0,0,,,216.0,3.0,0,
11168160,Heist-aan-Zee,8301,1.75,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
11171800,Marche-en-Famenne,6900,254.9,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20403122,Ittre Virginal-Samme,1460,393.56,HOUSE_GROUP,HOUSE_GROUP,sale,,,0,0,0,,,,,0,
20639810,Knokke,8300,3989000.0,HOUSE,HOUSE,sale,5.0,400.0,1,0,0,,,634.0,4.0,1,GOOD
20650077,Saint-Josse-ten-Noode,1210,149000.0,APARTMENT,APARTMENT,sale,1.0,48.0,1,0,0,3.0,,,2.0,0,TO_BE_DONE_UP
20624141,NODUWEZ,1350,395000.0,HOUSE,HOUSE,sale,3.0,180.0,1,0,0,32.0,1340.0,1340.0,4.0,0,
20456102,GRIVEGNÉE,4030,265000.0,HOUSE,HOUSE,sale,3.0,124.0,1,0,0,25.0,52.0,196.0,2.0,0,GOOD
20574692,Diksmuide,8600,249000.0,APARTMENT,APARTMENT,sale,1.0,102.0,1,0,0,,,,,0,GOOD
20588432,Arlon,6700,500000.0,HOUSE,APARTMENT_BLOCK,sale,4.0,236.0,1,0,0,,,0.0,2.0,0,GOOD
20605300,BORGERHOUT,2140,169000.0,APARTMENT,APARTMENT,sale,2.0,64.0,1,0,0,6.0,,,2.0,0,GOOD
20650639,WILRIJK,2610,495000.0,APARTMENT,DUPLEX,sale,3.0,150.0,1,0,0,12.0,,,2.0,0,GOOD
20364076,Liège,4000,248500.0,APARTMENT,DUPLEX,sale,4.0,161.0,1,0,0,12.0,,,3.0,0,GOOD
20638601,Oudenaarde,9700,240000.0,HOUSE,HOUSE,sale,3.0,123.0,0,0,0,,,532.0,4.0,0,GOOD
20536314,GENT,9000,320000.0,HOUSE,MIXED_USE_BUILDING,sale,4.0,170.0,1,0,0,,,45.0,2.0,0,AS_NEW
20501218,Uccle,1180,1295000.0,APARTMENT,PENTHOUSE,sale,4.0,285.0,1,0,0,70.0,,,2.0,0,AS_NEW
20467656,Oudenaarde,9700,319000.0,HOUSE,HOUSE,sale,3.0,152.0,0,0,0,,,637.0,2.0,0,GOOD
20493521,Gingelom,3890,195000.0,HOUSE,HOUSE,sale,3.0,150.0,1,0,0,,915.0,1160.0,2.0,0,GOOD
20642227,Gent,9000,220000.0,APARTMENT,KOT,sale,1.0,32.0,1,0,0,,,,2.0,0,AS_NEW
20640050,Aartselaar,2630,575000.0,HOUSE,HOUSE,sale,4.0,233.0,1,0,0,33.0,146.0,349.0,3.0,0,AS_NEW
20628044,Ixelles,1050,170000.0,APARTMENT,FLAT_STUDIO,sale,0.0,42.0,1,0,0,,,,2.0,0,GOOD
20623512,SPRIMONT,4140,240000.0,APARTMENT,APARTMENT,sale,2.0,104.0,1,0,0,21.0,60.0,,3.0,0,
20596457,Rochefort,5580,349000.0,HOUSE,HOUSE,sale,3.0,125.0,1,0,0,40.0,942.0,942.0,3.0,1,GOOD
20538319,Thuin,6530,260000.0,HOUSE,HOUSE,sale,2.0,100.0,0,0,0,15.0,,55.0,2.0,0,
20611014,Wetteren,9230,210000.0,HOUSE,HOUSE,sale,3.0,181.0,1,0,0,25.0,,110.0,2.0,0,TO_BE_DONE_UP
20590036,Olne,4877,695000.0,HOUSE,HOUSE,sale,4.0,338.0,1,0,0,42.0,1790.0,1790.0,4.0,0,GOOD
11394070,Aalst,9310,453065.0,HOUSE,HOUSE,sale,3.0,204.0,0,0,0,,500.0,500.0,3.0,0,
20177362,Auderghem,1160,264.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20642216,Gent,9000,200000.0,APARTMENT,KOT,sale,1.0,23.0,1,0,0,,,,2.0,0,AS_NEW
20467091,FLÉMALLE,4400,299000.0,HOUSE,HOUSE,sale,3.0,111.0,1,0,0,,140.0,491.0,4.0,0,GOOD
20051517,Knokke,8300,1050000.0,APARTMENT,APARTMENT,sale,3.0,79.0,0,0,0,,,,,0,AS_NEW
20470395,MUSSON,6750,510000.0,HOUSE,HOUSE,sale,3.0,185.0,1,0,0,15.0,330.0,565.0,4.0,0,GOOD
20382611,Auderghem,1160,495000.0,HOUSE,HOUSE,sale,4.0,182.0,0,0,0,20.0,50.0,145.0,2.0,0,TO_RESTORE
20658794,Londerzeel,1840,309.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20606449,Horebeke,9667,195000.0,HOUSE,HOUSE,sale,4.0,151.0,0,0,0,,,763.0,13.0,0,TO_RENOVATE
20588082,Zutendaal,3690,400000.0,HOUSE,HOUSE,sale,1.0,197.0,0,0,0,,,488.0,,0,
20620727,Kasterlee,2460,825000.0,HOUSE,HOUSE,sale,3.0,348.0,1,0,0,,,2300.0,4.0,0,
20658846,Koksijde,8670,239.2,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20607235,Strépy-Bracquegnies,7110,239000.0,HOUSE,VILLA,sale,2.0,120.0,1,0,0,50.0,315.0,772.0,4.0,0,GOOD
20452956,Leuven,3000,249000.0,APARTMENT,FLAT_STUDIO,sale,1.0,32.0,1,1,0,,,,,0,AS_NEW
20632746,Knokke-Heist,8300,2495000.0,APARTMENT,APARTMENT,sale,3.0,,1,0,0,,,,2.0,0,JUST_RENOVATED
20639833,Oostakker,9041,364000.0,HOUSE,HOUSE,sale,3.0,155.0,0,0,0,,,364.0,,0,TO_BE_DONE_UP
20643875,GEEL,2440,274000.0,HOUSE,HOUSE,sale,6.0,228.0,0,0,0,,,459.0,4.0,0,TO_RENOVATE
10984599,Zeebrugge,8380,395000.0,HOUSE,HOUSE,sale,4.0,510.0,1,0,0,,,293.0,2.0,0,TO_BE_DONE_UP
20608501,Braine-L'Alleud (Braine-l'Alleud),1420,495000.0,HOUSE,HOUSE,sale,5.0,207.0,0,0,0,,244.0,410.0,3.0,0,
20577396,Liège,4000,239000.0,HOUSE,HOUSE,sale,4.0,212.0,1,0,0,26.0,,83.0,2.0,0,TO_BE_DONE_UP
20529647,WELLIN,6920,99900.0,HOUSE,HOUSE,sale,3.0,144.0,1,0,0,,,259.0,4.0,0,TO_RENOVATE
20551680,Rixensart,1330,995000.0,HOUSE,HOUSE,sale,3.0,250.0,1,0,0,,,1371.0,4.0,1,AS_NEW
20618692,Bredene,8450,205000.0,APARTMENT,APARTMENT,sale,2.0,75.0,1,1,0,10.0,,,,1,GOOD
