id,type,subtype,postal_code,locality,price,rooms_cnt,area,immo_url,Type of sale,Kitchen type,Terrace surface,Garden surface,Swimming pool,Furnished,Open fire,Building condition,Number of frontages,Surface of good,Construction year
20635406,house,house,6640,Vaux-sur-SГ»re,345000,3.0,157.0,https://www.immoweb.be/en/classified/house/for-sale/vaux-sur-sure/6640/20635406,For sale,,73.0,300.0,0,0,0,As new,3.0,418.0,2024.0
20508666,house,house,9680,Maarkedal,775000,6.0,280.0,https://www.immoweb.be/en/classified/house/for-sale/maarkedal/9680/20508666,For sale,Hyper equipped,,145.0,0,0,0,As new,2.0,285.0,2024.0
20641760,apartment,apartment,9000,Gent,564900,2.0,123.0,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20641760,For sale,Hyper equipped,41.0,,0,0,0,As new,2.0,,2012.0
20570432,house,house,6840,NeufchГўteau,319900,3.0,133.0,https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/20570432,For sale,,9.0,733.0,0,0,0,Good,3.0,850.0,2024.0
20668759,apartment,apartment,1785,Merchtem,209000,1.0,78.0,https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/20668759,For sale,Hyper equipped,6.0,,0,0,0,Good,,,2005.0
20666005,apartment,apartment,1083,GANSHOREN,220000,2.0,,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20666005,For sale,Semi equipped,,,0,0,0,To renovate,2.0,,1953.0
20600809,apartment,apartment,8301,Duinbergen,925000,2.0,87.0,https://www.immoweb.be/en/classified/apartment/for-sale/duinbergen/8301/20600809,For sale,,,,0,0,0,Just renovated,,,1988.0
20596355,house,house,1740,TERNAT,595000,3.0,305.0,https://www.immoweb.be/en/classified/house/for-sale/ternat/1740/20596355,For sale,Hyper equipped,,540.0,0,0,0,Good,2.0,670.0,1932.0
20598273,house,house,9700,Oudenaarde,497000,3.0,296.0,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20598273,For sale,,,,0,0,0,Good,4.0,1503.0,1978.0
20393802,house,house,1060,Saint-Gilles,599000,5.0,253.0,https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/20393802,For sale,Semi equipped,,48.0,0,0,0,To renovate,2.0,140.0,1910.0
20570433,house,house,6840,NeufchГўteau,314900,3.0,133.0,https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/20570433,For sale,,9.0,735.0,0,0,0,Good,3.0,858.0,2024.0
20581758,house,house,6800,Libramont-Chevigny Saint-Pierre,309000,4.0,140.0,https://www.immoweb.be/en/classified/house/for-sale/libramont-chevigny-saint-pierre/6800/20581758,For sale,Installed,30.0,700.0,0,0,0,To be done up,4.0,981.0,1983.0
20669535,apartment,apartment,1785,MERCHTEM,369000,2.0,103.0,https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/20669535,For sale,Hyper equipped,15.0,,0,0,0,,4.0,,2025.0
20648349,apartment,apartment,2140,Antwerpen,199900,1.0,70.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/20648349,For sale,Installed,,,0,0,0,Good,2.0,,1983.0
20669541,apartment,apartment,1785,MERCHTEM,298500,1.0,93.0,https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/20669541,For sale,Hyper equipped,17.0,,0,0,0,,4.0,,2025.0
20368107,apartment,apartment,1150,Woluwe-Saint-Pierre,299000,2.0,81.0,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20368107,For sale,Installed,6.0,,0,0,0,To renovate,2.0,,1964.0
20669533,apartment,apartment,1785,MERCHTEM,353500,2.0,101.0,https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/20669533,For sale,Hyper equipped,19.0,,0,0,0,,4.0,,2025.0
20669536,apartment,apartment,1785,MERCHTEM,349000,2.0,95.0,https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/20669536,For sale,Hyper equipped,19.0,,0,0,0,,4.0,,2025.0
20669537,apartment,apartment,1785,MERCHTEM,329000,2.0,90.0,https://www.immoweb.be/en/classified/apartment/for-sale/merchtem/1785/20669537,For sale,Hyper equipped,11.0,,0,0,0,,4.0,,2025.0
20574363,house,house,1150,Woluwe-Saint-Pierre,690000,4.0,186.0,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20574363,For sale,Hyper equipped,20.0,25.0,0,0,0,As new,3.0,83.0,1920.0
