Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building,Construction Year
20637531.0,Aalst,9320.0,375000.0,HOUSE,HOUSE,Regular,3.0,197.0,1.0,0.0,0.0,0.0,1.0,364.0,3.0,0.0,GOOD,0.0
20658009.0,Geraardsbergen,9500.0,425000.0,HOUSE,EXCEPTIONAL_PROPERTY,Regular,5.0,332.0,1.0,0.0,0.0,80.0,1.0,264.0,4.0,0.0,AS_NEW,0.0
20561912.0,Aalst,9300.0,210000.0,HOUSE,HOUSE,Regular,3.0,150.0,1.0,0.0,0.0,20.0,1.0,141.0,2.0,0.0,GOOD,0.0
20657874.0,Lede,9340.0,249000.0,HOUSE,HOUSE,Regular,2.0,,1.0,0.0,0.0,0.0,0.0,431.0,4.0,0.0,GOOD,0.0
20657794.0,Aalst,9300.0,439000.0,HOUSE,HOUSE,Regular,3.0,168.0,1.0,0.0,0.0,50.0,0.0,838.0,3.0,0.0,AS_NEW,0.0
20657791.0,Aalst (9300),9300.0,795000.0,HOUSE,VILLA,Regular,5.0,442.0,1.0,0.0,0.0,28.0,1.0,1127.0,,0.0,GOOD,0.0
20657758.0,Ninove,9400.0,199000.0,HOUSE,HOUSE,Regular,3.0,120.0,1.0,0.0,0.0,35.0,1.0,216.0,3.0,0.0,GOOD,0.0
20657749.0,Meerbeke,9402.0,199000.0,HOUSE,HOUSE,Regular,3.0,120.0,1.0,0.0,0.0,35.0,1.0,216.0,3.0,0.0,GOOD,0.0
20657648.0,Aalst Herdersem,9310.0,375000.0,HOUSE,HOUSE,Regular,3.0,195.0,1.0,0.0,0.0,0.0,1.0,331.0,2.0,0.0,JUST_RENOVATED,0.0
20264148.0,Haaltert,9450.0,339000.0,HOUSE,HOUSE,Regular,2.0,143.0,0.0,0.0,0.0,0.0,0.0,407.0,,0.0,GOOD,0.0
20657359.0,Zottegem,9620.0,260000.0,HOUSE,HOUSE,Regular,3.0,192.0,0.0,0.0,0.0,0.0,0.0,610.0,,0.0,TO_RENOVATE,0.0
20657317.0,Aalst,9308.0,830000.0,HOUSE,VILLA,Regular,6.0,382.0,1.0,0.0,0.0,215.0,1.0,5055.0,4.0,1.0,GOOD,0.0
20657316.0,Aalst,9308.0,830000.0,HOUSE,VILLA,Regular,6.0,382.0,1.0,0.0,0.0,215.0,1.0,5055.0,4.0,1.0,GOOD,0.0
20657170.0,Erembodegem,9320.0,425000.0,HOUSE,HOUSE,Regular,3.0,193.0,0.0,0.0,0.0,0.0,0.0,505.0,3.0,0.0,AS_NEW,0.0
20657145.0,GERAARDSBERGEN,9500.0,175000.0,HOUSE,HOUSE,Regular,3.0,122.0,1.0,0.0,0.0,0.0,0.0,277.0,3.0,0.0,TO_RENOVATE,0.0
20657144.0,GERAARDSBERGEN,9500.0,275000.0,HOUSE,HOUSE,Regular,2.0,180.0,0.0,0.0,0.0,0.0,0.0,623.0,2.0,0.0,GOOD,0.0
20657143.0,GERAARDSBERGEN,9500.0,390000.0,HOUSE,HOUSE,Regular,3.0,180.0,1.0,0.0,0.0,0.0,0.0,494.0,3.0,0.0,,0.0
20657142.0,GERAARDSBERGEN,9500.0,390000.0,HOUSE,HOUSE,Regular,3.0,180.0,1.0,0.0,0.0,0.0,0.0,494.0,3.0,0.0,,0.0
20657141.0,GERAARDSBERGEN,9500.0,315000.0,HOUSE,HOUSE,Regular,3.0,188.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,GOOD,0.0
20656969.0,Haaltert,9450.0,335000.0,HOUSE,BUNGALOW,Regular,3.0,,1.0,0.0,0.0,0.0,0.0,687.0,,0.0,TO_BE_DONE_UP,0.0
20656936.0,Sint-Maria Oudenhove,9620.0,450000.0,HOUSE,HOUSE,Regular,4.0,215.0,1.0,0.0,1.0,0.0,0.0,644.0,,0.0,JUST_RENOVATED,0.0
20656917.0,GERAARDSBERGEN,9500.0,399000.0,HOUSE,HOUSE,Regular,3.0,174.0,0.0,0.0,0.0,0.0,0.0,840.0,3.0,0.0,GOOD,0.0
20663562.0,Kortrijk,8500.0,438113.0,HOUSE,HOUSE,Regular,4.0,175.0,1.0,0.0,0.0,0.0,1.0,112.0,2.0,0.0,AS_NEW,0.0
20663565.0,Houthulst,8650.0,599000.0,HOUSE,VILLA,Regular,6.0,494.0,0.0,0.0,0.0,0.0,1.0,1875.0,4.0,0.0,AS_NEW,0.0
20663561.0,Diksmuide,8600.0,675000.0,HOUSE,HOUSE,Regular,5.0,444.0,0.0,0.0,0.0,0.0,1.0,1859.0,4.0,0.0,AS_NEW,0.0
20663558.0,Essen,2910.0,409000.0,HOUSE,HOUSE,Regular,3.0,127.0,1.0,0.0,0.0,30.0,0.0,453.0,3.0,0.0,GOOD,0.0
20663556.0,Essen,2910.0,319000.0,HOUSE,HOUSE,Regular,3.0,80.0,1.0,0.0,0.0,20.0,0.0,138.0,2.0,0.0,GOOD,0.0
11224139.0,CONSDORF,6212.0,1249000.0,HOUSE,APARTMENT_BLOCK,Regular,9.0,653.0,0.0,0.0,0.0,0.0,0.0,639.0,,0.0,TO_RENOVATE,0.0
20663535.0,Elsene,1050.0,1375000.0,HOUSE,HOUSE,Regular,6.0,215.0,0.0,0.0,0.0,24.0,1.0,0.0,2.0,0.0,GOOD,0.0
20663533.0,Elsene,1050.0,799000.0,HOUSE,HOUSE,Regular,3.0,227.0,0.0,0.0,0.0,29.0,1.0,0.0,2.0,0.0,GOOD,0.0
20663555.0,Elsene,1050.0,1199000.0,HOUSE,HOUSE,Regular,10.0,409.0,0.0,0.0,0.0,18.0,1.0,0.0,2.0,0.0,GOOD,0.0
20663530.0,Elsene,1050.0,1350000.0,HOUSE,HOUSE,Regular,5.0,232.0,0.0,0.0,0.0,21.0,1.0,0.0,2.0,0.0,GOOD,0.0
20656887.0,Aalst,9320.0,499000.0,HOUSE,HOUSE,Regular,3.0,330.0,1.0,0.0,1.0,1.0,1.0,1250.0,3.0,0.0,AS_NEW,0.0
20656778.0,Ninove Meerbeke,9402.0,339000.0,HOUSE,HOUSE,Regular,3.0,198.0,1.0,0.0,0.0,0.0,0.0,2152.0,2.0,0.0,,0.0
20656785.0,Ninove,9400.0,339000.0,HOUSE,HOUSE,Regular,3.0,198.0,1.0,0.0,0.0,0.0,0.0,2152.0,2.0,0.0,,0.0
